종목코드,종목명,종가,대비,등락률,상장시가총액
"011210","현대위아","55800","900","1.64","1517486.0"
"000120","CJ대한통운","71800","300","0.42","1637926.0"
"006040","동원산업","33200","300","0.91","1465475.0"
"457190","이수스페셜티케미컬","54300","500","0.93","1640885.0"
"006280","녹십자","118800","-800","-0.67","1388361.0"
"298020","효성티앤씨","318500","20500","6.88","1378367.0"
"069620","대웅제약","121700","3400","2.87","1410086.0"
"000080","하이트진로","14690","-90","-0.61","1030263.0"
"000210","DL","46250","2250","5.11","969210.0"
"001430","세아베스틸지주","31050","-550","-1.74","1113519.0"
"003090","대웅","16220","210","1.31","943063.0"
"003240","태광산업","824000","3000","0.37","917442.0"
"004000","롯데정밀화학","45800","800","1.78","1181640.0"
"005300","롯데칠성","97300","700","0.72","902835.0"
"007310","오뚜기","309000","2500","0.82","1238419.0"
"009240","한샘","35500","-200","-0.56","835454.0"
"017960","한국카본","22100","150","0.68","1142050.0"
"034230","파라다이스","9630","-160","-1.63","892021.0"
"093370","후성","10670","390","3.79","1144414.0"
"185750","종근당","66100","-600","-0.90","912364.0"
"192080","더블유게임즈","59500","-800","-1.33","1259821.0"
"280360","롯데웰푸드","100700","700","0.70","926901.0"
"300720","한일시멘트","13790","-130","-0.93","1014188.0"
"361610","SK아이이테크놀로지","13260","-340","-2.50","1084497.0"
"000670","영풍","33700","-300","-0.88","620440.0"
"456040","OCI","84800","-1000","-1.17","759172.0"
"002030","아세아","179100","-9600","-5.09","368740.0"
"002840","미원상사","121800","-1200","-0.98","578550.0"
"003030","세아제강지주","97400","900","0.93","403397.0"
"005420","코스모화학","8800","-60","-0.68","337992.0"
"006650","대한유화","96100","-600","-0.62","624650.0"
"008730","율촌화학","12900","0","0.00","319920.0"
"014820","동원시스템즈","18790","-20","-0.11","544746.0"
"069260","TKG휴켐스","15150","-120","-0.79","619311.0"
"071320","지역난방공사","63600","-600","-0.93","736408.0"
"137310","에스디바이오센서","6000","-190","-3.07","724495.0"
"268280","미원에스씨","111100","-2500","-2.20","555500.0"
"285130","SK케미칼","37300","-350","-0.93","645244.0"
"298050","HS효성첨단소재","144400","1300","0.91","646904.0"
"001680","대상","17200","-20","-0.12","595946.0"
